filiere_id,filiere_libelle,cod_aff_form,effectif_total_demandé,effectif_total_candidats,effectif_total_candidates,effectif_total_accepte,effectif_total_admis,effectif_total_admises,general,techno,pro,autre,capacite
116,BUT - Management de la Logistique et des Transports,11336,745,545,200,55,37,18,14,24,2,15,56
857,BUT - Carrières juridiques,18735,2009,430,1579,81,10,71,28,37,0,16,84
984,BUT - Génie électrique et informatique industrielle,2423,539,489,50,52,46,6,12,24,1,15,52
858,BUT - Génie mécanique et productique,2424,899,820,79,64,61,3,22,18,0,24,80
3304,BUT - Gestion des entreprises et des administrations,2425,1663,831,832,133,77,56,50,54,0,29,140
2653,BUT - Métiers du multimédia et de l'internet,2426,926,655,271,103,62,41,37,31,2,33,104
1218,BUT - Techniques de commercialisation,2427,1940,999,941,140,60,80,53,63,2,22,140
3304,BUT - Gestion des entreprises et des administrations,3648,2215,1135,1080,172,98,74,81,51,0,40,168
2326,BUT - Informatique,3646,1836,1649,187,78,64,14,40,31,0,7,78
3380,BUT - Réseaux et télécommunications,3647,1019,900,119,47,44,3,20,14,0,13,52
1218,BUT - Techniques de commercialisation,3649,3017,1523,1494,143,72,71,70,63,0,10,140
984,BUT - Génie électrique et informatique industrielle,6956,465,424,41,41,41,0,24,7,1,9,78
3316,BUT - Génie industriel et maintenance,6957,430,386,44,35,31,4,13,9,3,10,65
858,BUT - Génie mécanique et productique,6958,494,446,48,60,55,5,26,19,0,15,91
3304,BUT - Gestion des entreprises et des administrations,6962,1458,750,708,151,71,80,54,42,1,54,168
1218,BUT - Techniques de commercialisation,6963,1867,995,872,165,87,78,61,59,6,39,162
3131,"BUT - Qualité, logistique industrielle et organisation",7197,189,140,49,19,16,3,8,5,0,6,35
1218,BUT - Techniques de commercialisation,7199,1086,609,477,130,78,52,44,48,3,35,124
2326,BUT - Informatique,7192,722,658,64,75,70,5,42,21,0,12,84
2718,BUT - Mesures physiques,7193,190,139,51,16,13,3,4,7,0,5,39
3304,BUT - Gestion des entreprises et des administrations,6469,2760,1438,1322,162,88,74,73,70,3,16,168
